"combination","total"
"Drama, History, Horror","48"
"Drama, History, Music","169"
"Drama, History, Mystery","25"
"Drama, History, Romance","450"
"Drama, History, Science Fiction","9"
"Drama, History, Thriller","143"
"Drama, History, TV Movie","366"
"Drama, History, War","819"
"Drama, History, Western","27"
"Drama, Horror, Music","17"
"Drama, Horror, Mystery","338"
"Drama, Horror, Romance","127"
"Drama, Horror, Science Fiction","139"
"Drama, Horror, Thriller","1043"
"Drama, Horror, TV Movie","91"
"Drama, Horror, War","9"
"Drama, Horror, Western","9"
"Drama, Music, Mystery","24"
"Drama, Music, Romance","750"
"Drama, Music, Science Fiction","14"
"Drama, Music, Thriller","26"
"Drama, Music, TV Movie","97"
"Drama, Music, War","28"
"Drama, Music, Western","6"
"Drama, Mystery, Romance","195"
"Drama, Mystery, Science Fiction","86"
"Drama, Mystery, Thriller","891"
"Drama, Mystery, TV Movie","127"
"Drama, Mystery, War","19"
"Drama, Mystery, Western","13"
"Drama, Romance, Science Fiction","131"
"Drama, Romance, Thriller","482"
"Drama, Romance, TV Movie","688"
"Drama, Romance, War","430"
"Drama, Romance, Western","73"
"Drama, Science Fiction, Thriller","247"
"Drama, Science Fiction, TV Movie","62"
"Drama, Science Fiction, War","15"
"Drama, Science Fiction, Western","2"
"Drama, Thriller, TV Movie","557"
"Drama, Thriller, War","106"
"Drama, Thriller, Western","27"
"Drama, TV Movie, War","151"
"Drama, TV Movie, Western","25"
"Drama, War, Western","12"
"Family, Action","44"
"Family, Adventure","654"
"Family, Animation","1124"
"Family, Comedy","1739"
"Family, Crime","28"
"Family, Documentary","115"
"Family, Drama","3078"
"Family, Fantasy, History","1"
"Family, Fantasy, Horror","43"
"Family, Fantasy, Music","91"
"Family, Fantasy, Mystery","7"
"Family, Fantasy, Romance","18"
"Family, Fantasy, Science Fiction","18"
"Family, Fantasy, Thriller","2"
"Family, Fantasy, TV Movie","312"
"Family, Fantasy, Western","2"
"Family, History, Music","3"
"Family, History, Romance","2"
"Family, History, TV Movie","2"
"Family, History, War","3"
"Family, Horror, Music","1"
"Family, Horror, Mystery","2"
"Family, Horror, Science Fiction","1"
"Family, Horror, Thriller","5"
"Family, Horror, TV Movie","4"
"Family, Horror, Western","1"
"Family, Music, Romance","13"
"Family, Music, Science Fiction","5"
"Family, Music, TV Movie","44"
"Family, Music, Western","1"
"Family, Mystery, Romance","2"
"Family, Mystery, Science Fiction","3"
"Family, Mystery, Thriller","2"
"Family, Mystery, TV Movie","8"
"Family, Romance, Science Fiction","3"
"Family, Romance, TV Movie","63"
"Family, Romance, War","1"
"Family, Science Fiction, Thriller","2"
"Family, Science Fiction, TV Movie","5"
"Family, Thriller, TV Movie","3"
"Family, Thriller, War","1"
"Family, TV Movie, War","1"
"Family, TV Movie, Western","2"
"Fantasy, Action","300"
"Fantasy, Adventure","299"
"Fantasy, Animation","218"
"Fantasy, Comedy","842"
"Fantasy, Crime","11"
"Fantasy, Documentary","42"
"Fantasy, Drama","1329"
"Fantasy, Family","801"
"Fantasy, History, Horror","7"
"Fantasy, History, Music","3"
"Fantasy, History, Mystery","1"
"Fantasy, History, Romance","7"
"Fantasy, History, TV Movie","1"
"Fantasy, History, War","2"
"Fantasy, Horror, Music","20"
"Fantasy, Horror, Mystery","106"
"Fantasy, Horror, Romance","45"
"Fantasy, Horror, Science Fiction","80"
"Fantasy, Horror, Thriller","175"
"Fantasy, Horror, TV Movie","26"
"Fantasy, Horror, War","4"
"Fantasy, Horror, Western","6"
"Fantasy, Music, Mystery","5"
"Fantasy, Music, Romance","23"
"Fantasy, Music, Science Fiction","7"
"Fantasy, Music, TV Movie","14"
"Fantasy, Mystery, Romance","13"
"Fantasy, Mystery, Science Fiction","16"
"Fantasy, Mystery, Thriller","39"
"Fantasy, Mystery, TV Movie","2"
"Fantasy, Mystery, Western","1"
"Fantasy, Romance, Science Fiction","12"
"Fantasy, Romance, Thriller","8"
"Fantasy, Romance, TV Movie","20"
"Fantasy, Romance, Western","1"
"Fantasy, Science Fiction, Thriller","25"
"Fantasy, Science Fiction, TV Movie","5"
"Fantasy, Science Fiction, War","1"
"Fantasy, Science Fiction, Western","1"
"Fantasy, Thriller, TV Movie","1"
"Fantasy, Thriller, War","1"
"Fantasy, TV Movie, War","1"
"Fantasy, TV Movie, Western","2"
"Four or more","17940"
"History, Action","137"
"History, Adventure","177"
"History, Animation","25"
"History, Comedy","177"
"History, Crime","21"
"History, Documentary","1279"
"History, Drama","3666"
"History, Family","12"
"History, Fantasy","36"
"History, Horror, Mystery","5"
"History, Horror, Romance","3"
"History, Horror, Science Fiction","1"
"History, Horror, Thriller","4"
"History, Horror, War","2"
"History, Music, Romance","12"
"History, Music, TV Movie","8"
"History, Music, War","3"
"History, Music, Western","1"
"History, Mystery, Romance","2"
"History, Mystery, Science Fiction","1"
"History, Mystery, Thriller","9"
"History, Mystery, War","2"
"History, Romance, Science Fiction","1"
"History, Romance, Thriller","1"
"History, Romance, TV Movie","9"
"History, Romance, War","14"
"History, Romance, Western","2"
"History, Science Fiction, Thriller","1"
"History, Thriller, TV Movie","2"
"History, Thriller, War","12"
"History, TV Movie, War","10"
"History, TV Movie, Western","3"
"History, War, Western","4"
"Horror, Action","387"
"Horror, Adventure","101"
"Horror, Animation","90"
"Horror, Comedy","3598"
"Horror, Crime","253"
"Horror, Documentary","266"
"Horror, Drama","1708"
"Horror, Family","17"
"Horror, Fantasy","557"
"Horror, History","22"
"Horror, Music, Mystery","3"
"Horror, Music, Romance","4"
"Horror, Music, Science Fiction","6"
"Horror, Music, Thriller","15"
"Horror, Music, TV Movie","3"
"Horror, Mystery, Romance","28"
"Horror, Mystery, Science Fiction","84"
"Horror, Mystery, Thriller","1175"
"Horror, Mystery, TV Movie","53"
"Horror, Mystery, Western","14"
"Horror, Romance, Science Fiction","13"
"Horror, Romance, Thriller","68"
"Horror, Romance, TV Movie","4"
"Horror, Romance, Western","1"
"Horror, Science Fiction, Thriller","349"
"Horror, Science Fiction, TV Movie","60"
"Horror, Science Fiction, War","8"
"Horror, Science Fiction, Western","5"
"Horror, Thriller, TV Movie","152"
"Horror, Thriller, War","11"
"Horror, Thriller, Western","12"
"Horror, TV Movie, Western","3"
"Music, Action","30"
"Music, Adventure","22"
"Music, Animation","120"
"Music, Comedy","2597"
"Music, Crime","35"
"Music, Documentary","4465"
"Music, Drama","2063"
"Music, Family","262"
"Music, Fantasy","115"
"Music, History","57"
"Music, Horror","94"
"Music, Mystery, Romance","4"
"Music, Mystery, Thriller","4"
"Music, Romance, Science Fiction","3"
"Music, Romance, Thriller","6"
"Music, Romance, TV Movie","12"
"Music, Romance, War","5"
"Music, Romance, Western","10"
"Music, Science Fiction, Thriller","1"
"Music, Science Fiction, TV Movie","2"
"Music, TV Movie, War","1"
"Music, TV Movie, Western","1"
